Steps,Total Humans,Births,Deaths,Marriages,Laborers,Single Males,Married Males,Currently Migrated
6,371,0,0,0,161,25,92,76,
12,371,0,0,0,161,25,92,76,
18,371,0,0,0,161,25,92,76,
24,371,0,0,0,161,25,92,76,
30,371,0,0,1,161,24,93,76,
36,371,0,0,1,160,24,93,77,
42,371,0,0,1,160,24,93,77,
48,370,0,1,1,159,24,92,77,
54,370,0,1,1,159,24,92,77,
60,370,0,1,1,159,24,92,77,
66,370,0,1,1,158,24,92,78,
72,370,1,2,1,157,24,91,78,
78,370,1,2,1,160,26,91,78,
84,369,1,3,1,159,26,91,78,
90,369,1,3,1,159,26,91,78,
96,369,1,3,1,157,26,91,80,
102,369,1,3,1,155,26,91,82,
108,369,1,3,2,155,26,92,82,
114,369,1,3,2,155,26,92,82,
120,369,1,3,2,154,26,92,83,
126,369,1,3,2,154,26,92,83,
132,369,1,3,2,153,26,92,84,
138,369,1,3,2,153,26,92,84,
144,370,2,3,2,153,26,92,84,
150,368,2,5,2,153,26,91,84,
156,368,2,5,2,153,26,91,84,
162,369,3,5,2,153,26,91,84,
168,369,3,5,2,153,26,91,84,
174,369,4,6,2,153,27,90,83,
180,369,4,6,2,153,27,90,83,
186,369,4,6,2,153,27,90,83,
192,370,5,6,2,153,27,90,83,
198,371,6,6,2,154,28,90,82,
204,371,6,6,3,154,28,91,82,
210,371,6,6,3,154,28,91,82,
216,372,7,6,3,154,28,91,82,
222,372,7,6,3,155,29,91,82,
228,373,8,6,3,155,29,91,82,
234,373,8,6,3,155,29,91,82,
240,376,11,6,3,155,29,91,82,
246,378,13,6,3,155,29,91,82,
252,379,14,6,3,155,29,91,82,
258,378,14,7,3,154,29,91,82,
264,378,14,7,3,153,29,91,83,
270,379,15,7,3,152,29,91,84,
276,380,16,7,3,152,29,91,84,
282,378,16,9,3,150,29,91,84,
288,378,16,9,3,149,29,91,85,
294,378,16,9,3,150,34,91,85,
300,380,18,9,4,150,33,92,85,
306,380,18,9,4,150,33,92,85,
312,380,18,9,4,150,33,92,85,
318,380,18,9,4,150,33,92,85,
324,380,18,9,4,150,33,92,85,
330,380,18,9,4,150,33,92,85,
336,380,18,9,4,149,33,92,86,
342,380,18,9,4,149,33,92,86,
348,379,18,10,4,149,34,91,85,
354,379,18,10,4,149,35,91,85,
360,379,18,10,4,149,35,91,85,
366,379,18,10,4,152,39,91,85,
372,379,18,10,4,152,39,91,85,
378,380,19,10,4,152,39,91,85,
384,380,19,10,4,152,39,91,85,
390,380,19,10,4,150,39,91,87,
396,380,19,10,4,150,39,91,87,
402,381,20,10,4,150,39,91,87,
408,381,20,10,4,150,39,91,87,
414,381,20,10,4,150,39,91,87,
420,381,20,10,4,149,39,91,88,
426,382,21,10,4,149,39,91,88,
432,382,21,10,4,149,39,91,88,
438,382,21,10,4,148,46,91,88,
444,382,21,10,4,147,46,91,89,
450,381,21,11,4,147,47,91,88,
456,381,21,11,4,147,47,91,88,
462,381,21,11,4,147,47,91,88,
468,381,21,11,4,146,47,91,89,
474,380,21,12,4,145,47,90,89,
480,380,21,12,4,146,47,90,88,
486,380,21,12,4,145,47,90,89,
492,380,21,12,4,145,47,90,89,
498,379,21,13,5,144,46,91,89,
504,380,22,13,5,144,46,91,89,
510,380,22,13,6,145,45,92,88,
516,381,23,13,6,143,46,92,89,
522,381,24,14,6,142,46,91,89,
528,381,24,14,6,140,46,91,91,
534,381,24,14,6,140,46,91,91,
540,382,26,15,6,139,46,90,91,
546,382,26,15,6,138,46,90,92,
552,382,26,15,6,138,46,90,92,
558,381,26,16,6,137,46,89,92,
564,381,26,16,7,137,45,90,92,
570,381,26,16,8,137,44,91,92,
576,381,26,16,8,137,44,91,92,
582,381,26,16,8,137,44,91,92,
588,380,26,17,8,135,46,91,92,
594,381,27,17,9,136,46,92,91,
600,381,27,17,9,136,46,92,91,
606,381,27,17,10,136,45,93,91,
612,381,27,17,10,134,45,93,93,
618,379,27,19,10,131,45,91,94,
624,379,27,19,10,131,45,91,94,
630,379,27,19,10,131,45,91,94,
636,380,28,19,11,131,44,92,94,
642,380,28,19,11,131,44,92,94,
648,380,28,19,11,131,44,92,94,
654,381,29,19,11,131,44,92,94,
660,385,33,19,11,129,44,92,94,
666,384,33,20,11,127,44,91,95,
672,385,34,20,11,127,44,91,95,
678,385,34,20,12,127,43,92,95,
684,385,34,20,12,127,43,92,95,
690,385,34,20,12,127,43,92,95,
696,384,34,21,12,126,43,92,95,
702,383,34,22,13,126,42,93,94,
708,383,34,22,13,128,44,93,92,
714,383,35,23,13,127,44,93,92,
720,383,35,23,13,127,44,93,92,
726,383,35,23,13,127,44,93,92,
732,384,36,23,14,126,43,94,92,
738,384,36,23,14,126,43,94,92,
744,385,37,23,14,127,44,94,91,
750,385,37,23,15,127,43,95,91,
756,385,37,23,15,127,43,95,91,
762,385,37,23,15,126,43,95,92,
768,384,37,24,16,125,42,96,92,
774,384,37,24,16,126,43,96,91,
780,385,39,25,16,125,43,95,91,
786,387,41,25,16,124,43,95,92,
792,386,41,26,16,123,43,94,92,
798,386,41,26,16,123,43,94,92,
804,385,41,27,16,121,43,93,92,
810,385,41,27,16,121,43,93,92,
816,385,41,27,16,121,43,93,92,
822,386,42,27,17,121,42,94,92,
828,386,42,27,17,121,42,94,92,
834,386,42,27,17,121,42,94,92,
840,386,42,27,17,121,42,94,92,
846,386,43,28,17,120,42,93,92,
852,386,44,29,17,119,42,92,92,
858,386,44,29,18,119,41,93,92,
864,388,46,29,18,118,41,93,93,
870,389,48,30,18,116,41,92,94,
876,388,48,31,18,111,41,91,96,
882,387,48,32,18,116,41,90,96,
888,387,48,32,18,116,41,90,96,
894,387,48,32,18,116,41,90,96,
900,387,49,33,18,116,41,89,95,
906,388,50,33,18,116,41,89,95,
912,388,50,33,18,117,41,89,94,
918,387,50,34,18,117,41,89,93,
924,387,50,34,18,117,41,89,93,
930,388,51,34,18,116,41,89,94,
936,388,51,34,19,118,41,90,92,
942,390,53,34,19,118,41,90,92,
948,389,53,35,19,118,41,89,91,
954,388,53,36,19,121,41,89,92,
960,388,53,36,19,121,41,89,92,
966,389,54,36,19,121,41,89,92,
972,389,54,36,19,121,41,89,92,
978,390,55,36,20,121,40,90,92,
984,390,55,36,20,120,40,90,93,
990,390,55,36,20,120,40,90,92,
996,390,55,36,20,120,40,90,92,
1002,391,56,36,20,120,40,90,92,
1008,392,57,36,20,120,41,90,92,
1014,392,57,36,20,120,41,90,92,
1020,392,57,36,20,120,41,90,92,
1026,392,57,36,21,129,43,91,92,
