,,,,,,,,,,,,,,,,,,,,,,Steps,,,,,,,,,,,,,,,,,,,,,,,
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,138,34.93333333,45.7,46.96666667,43,43.96666667,28.96666667,35.73333333,23.33333333,3.9,0,27.66666667,43.73333333,19.9,18,28,24.96666667,27.8,21.6,9.633333333,2.9,,,
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,144,35.16666667,45.7,46.96666667,43,43.96666667,28.96666667,35.73333333,23.3,3.9,0,28,43.7,19.9,18,28,24.96666667,27.76666667,21.6,9.633333333,2.9,,,
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,150,34.33333333,44.66666667,45.96666667,41,45.96666667,31.96666667,33.8,23.26666667,5.8,0,26.4,43.7,19.9,19,25,24.96666667,29.8,22.53333333,10.56666667,2.9,,,
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,156,34.56666667,44.66666667,45.96666667,41,45.96666667,31.96666667,33.7,23.26666667,5.8,0,26.76666667,43.66666667,19.9,19,25,24.96666667,29.76666667,22.5,10.56666667,2.9,,,
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,162,34.8,44.66666667,45.96666667,41,45.96666667,31.96666667,33.7,23.23333333,5.8,0,27,43.63333333,19.9,19,25,24.96666667,29.76666667,22.43333333,10.56666667,2.9,,,
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,168,35.03333333,44.6,45.96666667,41,45.96666667,31.96666667,33.63333333,23.2,5.8,0,27.2,43.6,19.9,19,25,24.96666667,29.63333333,22.43333333,10.53333333,2.9,,,
6,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,174,35.26666667,44.6,45.96666667,41,45.96666667,31.96666667,33.53333333,23.13333333,5.8,0,27.6,43.6,19.9,19,25,24.96666667,29.5,22.36666667,10.53333333,2.9,,,
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,180,35.56666667,44.6,45.96666667,41,45.96666667,31.96666667,33.43333333,23.13333333,5.766666667,0,27.73333333,43.6,19.9,19,25,24.96666667,29.5,22.36666667,10.53333333,2.9,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,186,35.86666667,44.6,45.96666667,41,45.96666667,31.96666667,33.36666667,23.1,5.766666667,0,28,43.6,19.9,19,25,24.96666667,29.46666667,22.36666667,10.53333333,2.9,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,192,36.2,44.6,45.93333333,41,45.96666667,31.96666667,33.3,23.06666667,5.766666667,0,28.56666667,43.6,19.9,19,25,24.96666667,29.46666667,22.36666667,10.46666667,2.9,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,198,36.46666667,44.6,45.93333333,41,45.96666667,31.96666667,33.2,23.03333333,5.733333333,0,28.76666667,43.6,19.9,19,25,24.96666667,29.43333333,22.33333333,10.46666667,2.9,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,2,,204,36.86666667,44.6,45.93333333,40.96666667,45.96666667,31.96666667,33.1,23.03333333,5.733333333,0,29,43.6,19.9,19,25,24.96666667,29.26666667,22.3,10.43333333,2.866666667,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,210,37.33333333,44.6,45.93333333,40.96666667,45.96666667,31.96666667,33.06666667,23.03333333,5.733333333,0,29.16666667,43.6,19.9,19,25,24.96666667,29.23333333,22.3,10.4,2.833333333,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,216,37.63333333,44.56666667,45.93333333,40.96666667,45.96666667,31.96666667,33,23,5.733333333,0,29.56666667,43.6,19.9,19,25,24.96666667,29.2,22.3,10.4,2.833333333,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,222,35.93333333,41.73333333,47.76666667,37.96666667,50.96666667,29.96666667,34.03333333,22.93333333,7.7,0,29.8,37.93333333,22.56666667,20,27,24,28.3,24.1,10.4,2.833333333,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,228,36.33333333,41.7,47.76666667,37.96666667,50.96666667,29.96666667,33.96666667,22.86666667,7.7,0,30.1,37.93333333,22.53333333,20,27,24,28.23333333,24.1,10.4,2.833333333,,,
12,33,47,49,45,41,28,37,23,4,0,25,46,19,17,30,23,29,22,10,3,,234,36.76666667,41.66666667,47.76666667,37.96666667,50.96666667,29.96666667,33.9,22.83333333,7.7,0,30.4,37.93333333,22.53333333,20,27,24,28.1,24.1,10.4,2.833333333,,,
12,33,46,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,240,37.16666667,41.66666667,47.76666667,37.96666667,50.96666667,29.96666667,33.83333333,22.73333333,7.7,0,30.66666667,37.93333333,22.53333333,20,27,24,28.06666667,24.06666667,10.4,2.833333333,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,246,37.43333333,41.66666667,47.76666667,37.96666667,50.96666667,29.96666667,33.76666667,22.7,7.7,0,31.13333333,37.93333333,22.53333333,20,27,24,28.03333333,24.03333333,10.4,2.833333333,,,
12,33,47,49,45,41,27,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,252,37.66666667,41.66666667,47.76666667,37.96666667,50.96666667,29.96666667,33.63333333,22.7,7.7,0,31.6,37.93333333,22.53333333,20,27,23.96666667,27.96666667,23.96666667,10.4,2.833333333,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,258,37.93333333,41.63333333,47.76666667,37.96666667,50.96666667,29.96666667,33.63333333,22.63333333,7.7,0,31.8,37.93333333,22.53333333,20,27,23.96666667,27.96666667,23.96666667,10.36666667,2.833333333,,,
12,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,264,38.06666667,41.6,47.76666667,37.96666667,50.96666667,29.96666667,33.63333333,22.5,7.7,0,32.16666667,37.9,22.53333333,20,27,23.96666667,27.9,23.93333333,10.33333333,2.833333333,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,270,38.36666667,41.6,47.76666667,37.96666667,50.96666667,29.96666667,33.63333333,22.4,7.666666667,0,32.66666667,37.9,22.53333333,20,27,23.96666667,27.9,23.9,10.33333333,2.833333333,,,
12,33,47,49,45,41,28,37,23,3,0,26,46,19,17,30,23,29,22,10,3,,276,38.66666667,41.6,47.76666667,37.96666667,50.96666667,29.96666667,33.56666667,22.26666667,7.633333333,0,32.86666667,37.9,22.53333333,20,27,23.96666667,27.9,23.9,10.33333333,2.833333333,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,282,38.9,41.6,47.76666667,37.96666667,50.96666667,29.96666667,33.53333333,22.26666667,7.633333333,0,33.2,37.9,22.53333333,20,27,23.96666667,27.86666667,23.86666667,10.33333333,2.8,,,
12,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,288,39.13333333,41.53333333,47.76666667,37.93333333,50.96666667,29.96666667,33.5,22.26666667,7.633333333,0,33.43333333,37.9,22.53333333,20,27,23.96666667,27.83333333,23.83333333,10.3,2.8,,,
12,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,294,39.36666667,37.66666667,44.56666667,39.93333333,54.96666667,29.96666667,32.63333333,22.26666667,9.433333333,0,31.8,37.9,24.5,19,24,27.96666667,27.7,21.96666667,12.13333333,2.8,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,3,,300,39.73333333,37.66666667,44.56666667,39.93333333,54.96666667,29.96666667,32.53333333,22.23333333,9.433333333,0,31.96666667,37.86666667,24.5,19,24,27.96666667,27.7,21.93333333,12.13333333,2.8,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,3,,306,39.93333333,37.66666667,44.56666667,39.93333333,54.96666667,29.96666667,32.5,22.16666667,9.4,0,32.23333333,37.86666667,24.5,19,24,27.96666667,27.63333333,21.9,12.13333333,2.8,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,312,40.16666667,37.66666667,44.56666667,39.93333333,54.96666667,29.96666667,32.43333333,22.1,9.4,0,32.56666667,37.86666667,24.5,19,24,27.96666667,27.6,21.9,12.1,2.8,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,318,40.4,37.63333333,44.56666667,39.93333333,54.96666667,29.96666667,32.36666667,22.06666667,9.4,0,32.83333333,37.86666667,24.5,19,24,27.96666667,27.56666667,21.9,12,2.8,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,3,,324,40.63333333,37.63333333,44.56666667,39.93333333,54.96666667,29.96666667,32.3,22.03333333,9.4,0,33,37.83333333,24.5,19,24,27.96666667,27.56666667,21.9,12,2.8,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,2,,330,40.83333333,37.63333333,44.56666667,39.93333333,54.96666667,29.96666667,32.26666667,21.96666667,9.4,0,33.26666667,37.83333333,24.5,19,24,27.96666667,27.56666667,21.9,12,2.8,,,
12,33,46,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,336,41.13333333,37.63333333,44.56666667,39.93333333,54.96666667,29.96666667,32.16666667,21.9,9.366666667,0,33.56666667,37.83333333,24.5,19,24,27.96666667,27.53333333,21.9,11.96666667,2.8,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,342,41.3,37.63333333,44.56666667,39.93333333,54.96666667,29.96666667,32.13333333,21.8,9.333333333,0,33.76666667,37.83333333,24.5,19,24,27.96666667,27.4,21.9,11.93333333,2.8,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,348,41.53333333,37.63333333,44.56666667,39.93333333,54.96666667,29.96666667,32.03333333,21.73333333,9.3,0,33.93333333,37.83333333,24.5,19,24,27.96666667,27.4,21.86666667,11.93333333,2.8,,,
12,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,354,41.7,37.63333333,44.56666667,39.93333333,54.96666667,29.96666667,32,21.73333333,9.3,0,34.2,37.83333333,24.5,19,24,27.96666667,27.36666667,21.83333333,11.93333333,2.8,,,
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,360,41.86666667,37.63333333,44.56666667,39.93333333,54.96666667,29.96666667,31.96666667,21.66666667,9.3,0,34.36666667,37.83333333,24.5,19,24,27.96666667,27.3,21.83333333,11.9,2.8,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,366,41,30.93333333,46.26666667,45.93333333,50,34.93333333,25.86666667,26.06666667,10,0.866666667,33.46666667,35.86666667,27.46666667,18,23,27.96666667,28.43333333,20.8,13.63333333,2.8,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,372,41.13333333,30.93333333,46.26666667,45.93333333,50,34.93333333,25.83333333,26.06666667,10,0.866666667,33.63333333,35.83333333,27.46666667,18,23,27.96666667,28.36666667,20.7,13.63333333,2.8,,,
18,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,3,,378,41.46666667,30.93333333,46.26666667,45.93333333,50,34.93333333,25.73333333,26.06666667,9.933333333,0.866666667,33.8,35.83333333,27.46666667,18,23,27.96666667,28.33333333,20.66666667,13.63333333,2.8,,,
18,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,2,,384,41.8,30.9,46.26666667,45.93333333,50,34.93333333,25.66666667,26.06666667,9.933333333,0.866666667,33.9,35.83333333,27.46666667,18,23,27.96666667,28.3,20.63333333,13.6,2.8,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,390,41.96666667,30.9,46.26666667,45.93333333,50,34.93333333,25.63333333,26,9.933333333,0.866666667,33.96666667,35.83333333,27.46666667,18,23,27.96666667,28.23333333,20.63333333,13.56666667,2.8,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,396,42.26666667,30.9,46.26666667,45.93333333,49.96666667,34.93333333,25.63333333,25.96666667,9.933333333,0.866666667,34.3,35.83333333,27.46666667,18,23,27.96666667,28.2,20.6,13.56666667,2.8,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,402,42.36666667,30.9,46.26666667,45.93333333,49.96666667,34.93333333,25.56666667,25.93333333,9.9,0.866666667,34.53333333,35.8,27.46666667,18,23,27.96666667,28.16666667,20.6,13.53333333,2.8,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,408,42.46666667,30.9,46.26666667,45.93333333,49.96666667,34.93333333,25.53333333,25.9,9.866666667,0.866666667,34.73333333,35.8,27.46666667,18,23,27.96666667,28.16666667,20.6,13.53333333,2.8,,,
18,33,47,49,45,41,28,37,23,4,0,25,46,19,17,30,23,29,22,10,3,,414,42.53333333,30.9,46.26666667,45.93333333,49.96666667,34.93333333,25.46666667,25.86666667,9.866666667,0.866666667,34.9,35.8,27.46666667,18,23,27.96666667,28.1,20.56666667,13.53333333,2.8,,,
18,33,46,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,420,42.6,30.9,46.26666667,45.93333333,49.96666667,34.93333333,25.46666667,25.83333333,9.866666667,0.866666667,35.13333333,35.8,27.46666667,18,23,27.96666667,28.1,20.56666667,13.46666667,2.8,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,426,42.8,30.9,46.26666667,45.93333333,49.96666667,34.93333333,25.43333333,25.76666667,9.866666667,0.866666667,35.23333333,35.8,27.46666667,18,23,27.96666667,28.03333333,20.53333333,13.4,2.8,,,
18,33,47,49,45,41,27,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,432,43.03333333,30.9,46.26666667,45.93333333,49.96666667,34.93333333,25.36666667,25.76666667,9.866666667,0.866666667,35.43333333,35.8,27.46666667,18,23,27.96666667,28,20.53333333,13.4,2.8,,,
18,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,438,43.16666667,29.96666667,41.23333333,45.93333333,50.93333333,38.96666667,21.76666667,30.3,9.833333333,0.866666667,34.66666667,33.83333333,30.4,16,22,28.96666667,28.2,22.23333333,13.4,2.8,,,
18,33,47,49,45,41,28,36,23,4,0,26,45,19,17,30,23,29,22,10,3,,444,43.33333333,29.96666667,41.2,45.9,50.93333333,38.96666667,21.76666667,30.23333333,9.833333333,0.866666667,34.76666667,33.8,30.4,16,22,28.96666667,28.16666667,22.23333333,13.4,2.8,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,450,43.46666667,29.96666667,41.2,45.9,50.93333333,38.96666667,21.73333333,30.2,9.833333333,0.866666667,35.03333333,33.76666667,30.4,16,22,28.96666667,28.16666667,22.23333333,13.36666667,2.8,,,
18,33,47,49,45,41,28,37,23,3,0,26,46,19,17,30,23,29,22,10,3,,456,43.6,29.96666667,41.2,45.9,50.93333333,38.96666667,21.7,30.13333333,9.8,0.866666667,35.26666667,33.76666667,30.4,16,22,28.96666667,28.13333333,22.23333333,13.36666667,2.766666667,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,462,43.66666667,29.96666667,41.2,45.9,50.93333333,38.96666667,21.66666667,30.1,9.766666667,0.866666667,35.6,33.73333333,30.4,16,22,28.96666667,28.1,22.23333333,13.3,2.733333333,,,
18,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,468,43.73333333,29.96666667,41.2,45.9,50.93333333,38.96666667,21.63333333,30.1,9.733333333,0.866666667,35.63333333,33.7,30.4,16,22,28.96666667,28.1,22.23333333,13.3,2.733333333,,,
18,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,474,43.83333333,29.96666667,41.2,45.9,50.93333333,38.96666667,21.63333333,30.03333333,9.7,0.866666667,35.76666667,33.7,30.4,16,22,28.96666667,28.06666667,22.13333333,13.3,2.733333333,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,3,,480,43.9,29.96666667,41.2,45.86666667,50.93333333,38.96666667,21.63333333,29.93333333,9.7,0.866666667,35.96666667,33.66666667,30.4,16,22,28.96666667,28.03333333,22.1,13.3,2.733333333,,,
18,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,28,22,10,3,,486,44.03333333,29.96666667,41.2,45.86666667,50.93333333,38.96666667,21.63333333,29.83333333,9.7,0.866666667,36.26666667,33.66666667,30.4,16,22,28.96666667,27.96666667,22.03333333,13.3,2.733333333,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,492,44.2,29.96666667,41.2,45.86666667,50.93333333,38.96666667,21.6,29.8,9.7,0.866666667,36.46666667,33.66666667,30.4,16,22,28.96666667,27.9,22,13.3,2.733333333,,,
18,33,47,49,45,41,28,37,23,4,0,26,45,19,17,30,23,29,22,10,3,,498,44.43333333,29.96666667,41.2,45.86666667,50.93333333,38.96666667,21.6,29.76666667,9.7,0.866666667,36.63333333,33.66666667,30.36666667,16,22,28.96666667,27.83333333,22,13.26666667,2.733333333,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,3,,504,44.7,29.96666667,41.2,45.86666667,50.93333333,38.96666667,21.6,29.7,9.7,0.866666667,36.8,33.66666667,30.36666667,16,22,28.96666667,27.76666667,22,13.26666667,2.733333333,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,2,,510,44.9,29.96666667,41.2,45.86666667,50.93333333,38.96666667,21.6,29.66666667,9.7,0.866666667,36.86666667,33.66666667,30.36666667,16,22,28.96666667,27.73333333,22,13.23333333,2.7,,,
18,33,46,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,516,40.2,32.9,38.2,48.83333333,49.93333333,37.96666667,22.1,31.3,10.56666667,1.8,36.16666667,34.66666667,27.4,15.96666667,23,29.96666667,25.5,23.46666667,14.13333333,3.533333333,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,522,40.43333333,32.9,38.2,48.83333333,49.93333333,37.96666667,22.06666667,31.2,10.56666667,1.8,36.4,34.66666667,27.4,15.96666667,23,29.96666667,25.46666667,23.46666667,14.13333333,3.533333333,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,528,40.63333333,32.9,38.2,48.83333333,49.93333333,37.96666667,21.96666667,31.1,10.53333333,1.8,36.63333333,34.66666667,27.4,15.96666667,23,29.96666667,25.46666667,23.43333333,14.13333333,3.533333333,,,
18,33,47,49,45,41,28,35,23,4,0,26,46,19,17,30,23,29,22,10,3,,534,40.93333333,32.9,38.2,48.8,49.93333333,37.96666667,21.93333333,31.06666667,10.53333333,1.8,36.86666667,34.66666667,27.4,15.96666667,23,29.96666667,25.43333333,23.43333333,14.13333333,3.533333333,,,
18,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,540,41.13333333,32.9,38.2,48.8,49.93333333,37.96666667,21.9,31,10.46666667,1.8,37.13333333,34.66666667,27.4,15.96666667,23,29.96666667,25.43333333,23.43333333,14.13333333,3.533333333,,,
24,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,546,41.26666667,32.9,38.2,48.8,49.93333333,37.96666667,21.86666667,30.96666667,10.43333333,1.8,37.3,34.66666667,27.4,15.96666667,23,29.96666667,25.36666667,23.43333333,14.13333333,3.533333333,,,
24,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,552,41.5,32.9,38.2,48.8,49.93333333,37.96666667,21.8,30.9,10.4,1.8,37.36666667,34.66666667,27.4,15.96666667,23,29.96666667,25.26666667,23.43333333,14.13333333,3.533333333,,,
24,33,47,49,45,41,28,37,21,4,0,26,46,19,17,30,23,29,22,10,3,,558,41.83333333,32.9,38.2,48.8,49.93333333,37.96666667,21.76666667,30.86666667,10.36666667,1.8,37.6,34.66666667,27.36666667,15.96666667,23,29.96666667,25.26666667,23.4,14.13333333,3.533333333,,,
24,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,2,,564,42,32.9,38.2,48.8,49.93333333,37.96666667,21.7,30.8,10.36666667,1.766666667,37.93333333,34.66666667,27.36666667,15.96666667,23,29.96666667,25.26666667,23.36666667,14.13333333,3.5,,,
24,33,47,49,45,41,28,37,23,4,0,26,45,19,17,30,23,29,22,10,3,,570,42.13333333,32.9,38.2,48.8,49.93333333,37.96666667,21.7,30.8,10.33333333,1.766666667,38.2,34.63333333,27.36666667,15.96666667,23,29.96666667,25.16666667,23.3,14.1,3.5,,,
